date,action,long_strike,short_strike,expiry,contracts,net_premium,spy_price,regime,scale,long_iv,short_iv,old_expiry,close_proceeds,premium_paid,net_pnl
2009-07-14,ENTER,64.0,57.0,2009-08-13,62206.0,5520891.832856767,67.29725646972656,normal,1.0,0.280846632207633,0.3459087210622997,,,,
2009-08-10,ENTER,71.0,64.0,2009-09-09,60744.0,5403973.992332412,75.00666046142578,normal,1.0,0.28327215444795206,0.34157701167032234,,,,
2009-08-10,ROLL,,,,,,,normal,,,,2009-08-13,0.31056454989289417,,
2009-09-04,ENTER,72.0,64.0,2009-10-04,59350.0,5935974.529184133,75.80132293701172,normal,1.0,0.284268601653735,0.350916535693416,,,,
2009-09-04,ROLL,,,,,,,normal,,,,2009-09-09,140087.46384122467,,
2009-09-29,ENTER,75.0,67.0,2009-10-29,61980.0,6186738.996613859,79.10263061523438,bull,1.0,0.2845617146820105,0.3482511337764112,,,,
2009-09-29,ROLL,,,,,,,bull,,,,2009-10-04,19839.65193849694,,
2009-10-26,ENTER,76.0,68.0,2009-11-25,62184.0,6343286.922357833,79.78173065185547,bull,1.0,0.271907816957069,0.33284909741506,,,,
2009-10-26,ROLL,,,,,,,bull,,,,2009-10-29,25151.891070777336,,
2009-11-20,ENTER,78.0,69.0,2009-12-20,59965.0,5687196.153040758,81.66226959228516,bull,1.0,0.24677852059814473,0.3079175396089761,,,,
2009-11-20,ROLL,,,,,,,bull,,,,2009-11-25,39598.0914166842,,
2009-12-15,ENTER,79.0,71.0,2010-01-14,62436.0,5035483.52422082,83.0950698852539,bull,1.0,0.241376520105036,0.2931004159920334,,,,
2009-12-15,ROLL,,,,,,,bull,,,,2009-12-20,62140.86720782048,,
2010-01-11,ENTER,82.0,73.0,2010-02-10,61995.0,3500038.7257736055,86.07832336425781,bull,1.0,0.19628769601007356,0.24216160449279805,,,,
2010-01-11,ROLL,,,,,,,bull,,,,2010-01-14,6.77472909850737,,
2010-02-05,ENTER,76.0,68.0,2010-03-07,58399.0,6422431.348880661,80.02365112304688,bull,1.0,0.29392078215041706,0.35917649154114206,,,,
2010-02-05,ROLL,,,,,,,bull,,,,2010-02-10,11983796.885855772,,
2010-03-02,ENTER,80.0,72.0,2010-04-01,60737.0,3793259.142788986,84.18016815185547,bull,1.0,0.21426166227679327,0.2595454941799123,,,,
2010-03-02,ROLL,,,,,,,bull,,,,2010-03-07,306.973886110715,,
2010-03-29,ENTER,84.0,75.0,2010-04-28,59873.0,3268798.038825298,88.38397216796875,bull,1.0,0.19771227041254846,0.24249131344055141,,,,
2010-03-29,ROLL,,,,,,,bull,,,,2010-04-01,0.35404834759264264,,
2010-04-23,ENTER,87.0,78.0,2010-05-23,60247.0,2730312.727510749,91.76659393310547,bull,1.0,0.18778195626889785,0.22853210176244315,,,,
2010-04-23,ROLL,,,,,,,bull,,,,2010-04-28,224.63709706149464,,
2010-05-18,ENTER,80.0,72.0,2010-06-17,58006.0,9103768.849024232,84.67745971679688,bull,1.0,0.3818313928051851,0.4610732508543785,,,,
2010-05-18,ROLL,,,,,,,bull,,,,2010-05-23,13789497.917387618,,
2010-05-25,MONETIZE,80.0,72.0,,58006.0,,81.22710418701172,bear,,,,,3896297.4990008874,9103768.849024232,-5207471.350023345
2010-07-27,ENTER,80.0,72.0,2010-08-26,62227.0,5527544.475058163,84.43695068359375,normal,1.0,0.26236446891895043,0.3172930238962571,,,,
2010-08-23,ENTER,77.0,69.0,2010-09-22,64460.0,6940798.303643481,81.08367156982422,normal,1.0,0.2889086961449421,0.35220129858800514,,,,
2010-08-23,ROLL,,,,,,,normal,,,,2010-08-26,1851471.4353528954,,
2010-09-17,ENTER,81.0,73.0,2010-10-17,65853.0,5194294.101430468,85.60432434082031,normal,1.0,0.2496957215452636,0.30111836712211304,,,,
2010-09-17,ROLL,,,,,,,normal,,,,2010-09-22,1945.502078095481,,
2010-10-12,ENTER,85.0,76.0,2010-11-11,64822.0,4735549.409939183,89.04402923583984,bull,1.0,0.2107931551826633,0.2586262340001504,,,,
2010-10-12,ROLL,,,,,,,bull,,,,2010-10-17,812.7336760460976,,
2010-11-08,ENTER,89.0,79.0,2010-12-08,65372.0,4688445.707454642,93.2142562866211,bull,1.0,0.20357258492580504,0.25262623066936146,,,,
2010-11-08,ROLL,,,,,,,bull,,,,2010-11-11,5.256835246530186,,
2010-12-03,ENTER,89.0,79.0,2011-01-02,66452.0,4239390.553252718,93.5186538696289,bull,1.0,0.201855346113616,0.2500008137425203,,,,
2010-12-03,ROLL,,,,,,,bull,,,,2010-12-08,79888.9967424785,,
2010-12-28,ENTER,91.0,82.0,2011-01-27,64979.0,3276823.6097710715,96.25958251953125,bull,1.0,0.19913203987411796,0.24008381773487067,,,,
2010-12-28,ROLL,,,,,,,bull,,,,2011-01-02,2261.082186645732,,
2011-01-24,ENTER,94.0,84.0,2011-02-23,64416.0,4120046.21192722,98.76114654541016,bull,1.0,0.1977721497557724,0.24245064304223912,,,,
2011-01-24,ROLL,,,,,,,bull,,,,2011-01-27,20.88592882883384,,
2011-02-18,ENTER,98.0,88.0,2011-03-20,64256.0,3603393.3046956477,102.9150390625,bull,1.0,0.18391675021554715,0.22382830740591503,,,,
2011-02-18,ROLL,,,,,,,bull,,,,2011-02-23,160.57227481103286,,
2011-03-15,ENTER,93.0,84.0,2011-04-14,65413.0,7098965.289944465,98.3480224609375,bull,1.0,0.2762620632839713,0.3319012174163786,,,,
2011-03-15,ROLL,,,,,,,bull,,,,2011-03-20,5270511.695156869,,
2011-04-11,ENTER,97.0,87.0,2011-05-11,63286.0,3700740.0379748973,101.77169799804688,bull,1.0,0.18534615240751806,0.2260991269366993,,,,
2011-04-11,ROLL,,,,,,,bull,,,,2011-04-14,0.784495144785853,,
2011-05-06,ENTER,98.0,88.0,2011-06-05,64476.0,4568124.826250836,103.10858917236328,bull,1.0,0.20679102639365396,0.25140418560333816,,,,
2011-05-06,ROLL,,,,,,,bull,,,,2011-05-11,29820.72630515328,,
2011-05-31,ENTER,98.0,89.0,2011-06-30,65933.0,2476764.632580375,103.64641571044922,bull,1.0,0.17554213406871627,0.20908163134728844,,,,
2011-05-31,ROLL,,,,,,,bull,,,,2011-06-05,11314.855157283768,,
2011-06-27,ENTER,94.0,84.0,2011-07-27,66369.0,5973026.51244696,98.78624725341797,bull,1.0,0.23050361053979726,0.2825351393449234,,,,
2011-06-27,ROLL,,,,,,,bull,,,,2011-06-30,2378693.830155745,,
2011-07-22,ENTER,99.0,88.0,2011-08-21,65294.0,4448820.46641393,103.9131851196289,bull,1.0,0.19590942180410428,0.24227504338384032,,,,
2011-07-22,ROLL,,,,,,,bull,,,,2011-07-27,130.05951365002625,,
2011-08-09,MONETIZE,99.0,88.0,,65294.0,,90.70977020263672,bear,,,,,24270689.341000658,4448820.46641393,19821868.874586727
2012-02-14,ENTER,100.0,90.0,2012-03-15,66385.0,5074170.940110519,105.58971405029297,bull,1.0,0.22125991577047854,0.2675239273977764,,,,
2012-03-12,ENTER,102.0,92.0,2012-04-11,69404.0,3204158.843426168,107.45633697509766,bull,1.0,0.17625401289073153,0.21264087555010064,,,,
2012-03-12,ROLL,,,,,,,bull,,,,2012-03-15,16.31254865328543,,
2012-04-09,ENTER,103.0,92.0,2012-05-09,68393.0,5327936.743640438,108.42936706542969,bull,1.0,0.2116468129732963,0.2593529765818551,,,,
2012-04-09,ROLL,,,,,,,bull,,,,2012-04-11,155.80582902889688,,
2012-05-04,ENTER,102.0,91.0,2012-06-03,66358.0,5244020.915686333,107.47230529785156,bull,1.0,0.21598988829672242,0.2650164683946608,,,,
2012-05-04,ROLL,,,,,,,bull,,,,2012-05-09,270638.6804152661,,
2012-05-29,ENTER,100.0,89.0,2012-06-28,64876.0,6811945.522789198,104.883544921875,bull,1.0,0.23477987452904303,0.2899195909744335,,,,
2012-05-29,ROLL,,,,,,,bull,,,,2012-06-03,1155744.1110524368,,
2012-06-19,MONETIZE,100.0,89.0,,64876.0,,107.00409698486328,bear,,,,,123661.1307790909,6811945.522789198,-6688284.392010107
2012-08-21,ENTER,106.0,97.0,2012-09-20,60356.0,2453869.2307323613,111.78256225585938,normal,1.0,0.1696248863837266,0.19985768040959473,,,,
2012-09-17,ENTER,110.0,101.0,2012-10-17,60516.0,2539658.8608286763,115.70951080322266,normal,1.0,0.16389803879005094,0.19226865423509393,,,,
2012-09-17,ROLL,,,,,,,normal,,,,2012-09-20,0.03474592744211644,,
2012-10-12,ENTER,108.0,96.0,2012-11-11,61677.0,3796300.530365834,113.27508544921875,normal,1.0,0.18019053221236764,0.22293602625962627,,,,
2012-10-12,ROLL,,,,,,,normal,,,,2012-10-17,392415.4570100627,,
2012-11-06,ENTER,108.0,96.0,2012-12-06,63967.0,4827018.234695109,113.33061218261719,bull,1.0,0.19647207040782136,0.24300850673247587,,,,
2012-11-06,ROLL,,,,,,,bull,,,,2012-11-11,89327.16095742479,,
2012-12-03,ENTER,107.0,95.0,2013-01-02,64317.0,4349293.255921423,112.1335220336914,bull,1.0,0.18544465644657046,0.22996301033716393,,,,
2012-12-03,ROLL,,,,,,,bull,,,,2012-12-06,39213.2173019372,,
2012-12-28,ENTER,106.0,95.0,2013-01-27,62421.0,7213631.550989379,111.79513549804688,normal,1.0,0.25664375846026544,0.3125316678242141,,,,
2012-12-28,ROLL,,,,,,,normal,,,,2013-01-02,534668.6888132017,,
2013-01-22,ENTER,113.0,107.0,2013-02-21,62635.0,1426622.2812092658,119.0602798461914,normal,1.0,0.14011752642178485,0.15577765832936188,,,,
2013-01-22,ROLL,,,,,,,normal,,,,2013-01-27,0.00031651615097393423,,
2013-02-19,ENTER,116.0,110.0,2013-03-21,60222.0,1292404.726504179,122.34955596923828,normal,1.0,0.13907122246885803,0.15416322896287837,,,,
2013-02-19,ROLL,,,,,,,normal,,,,2013-02-21,1.1025625997311901e-07,,
2013-03-18,ENTER,118.0,110.0,2013-04-17,61553.0,1972978.9487058024,124.27304077148438,normal,1.0,0.15045974738596002,0.17196078064682396,,,,
2013-03-18,ROLL,,,,,,,normal,,,,2013-03-21,0.9190871368016841,,
2013-04-12,ENTER,121.0,115.0,2013-05-12,62212.0,1418838.011312398,127.34439086914062,normal,1.0,0.13562090416325198,0.14982647989168169,,,,
2013-04-12,ROLL,,,,,,,normal,,,,2013-04-17,5.622152955925476,,
2013-05-07,ENTER,124.0,116.0,2013-06-06,65451.0,2040003.8564960076,130.39163208007812,bull,1.0,0.14402275647837598,0.16370193330749444,,,,
2013-05-07,ROLL,,,,,,,bull,,,,2013-05-12,32.09047945843421,,
2013-06-03,ENTER,125.0,112.0,2013-07-03,66134.0,4113469.6504953727,131.7949981689453,bull,1.0,0.1837838856172884,0.22392956401248004,,,,
2013-06-03,ROLL,,,,,,,bull,,,,2013-06-06,485.5121620331813,,
2013-06-28,ENTER,123.0,110.0,2013-07-28,65378.0,4774292.700227908,129.32418823242188,bull,1.0,0.18921221876863115,0.23158247432731208,,,,
2013-06-28,ROLL,,,,,,,bull,,,,2013-07-03,371628.8492239588,,
2013-07-23,ENTER,130.0,122.0,2013-08-22,63357.0,2192146.0835198667,136.35391235351562,normal,1.0,0.14134841303892054,0.15991774113864382,,,,
2013-07-23,ROLL,,,,,,,normal,,,,2013-07-28,0.02648599421047533,,
2013-08-19,ENTER,126.0,114.0,2013-09-18,64750.0,3247198.6643296764,132.83099365234375,normal,1.0,0.17041339596061755,0.20451688333117213,,,,
2013-08-19,ROLL,,,,,,,normal,,,,2013-08-22,311238.12651104596,,
2013-09-13,ENTER,130.0,119.0,2013-10-13,65842.0,3188535.4622825505,136.50709533691406,normal,1.0,0.1584744013017656,0.1870004130474136,,,,
2013-09-13,ROLL,,,,,,,normal,,,,2013-09-18,82.68970231420606,,
2013-10-08,ENTER,127.0,114.0,2013-11-07,66241.0,7130933.850028633,134.0535888671875,normal,1.0,0.23015620177263146,0.27946855961816913,,,,
2013-10-08,ROLL,,,,,,,normal,,,,2013-10-13,1079549.5899145275,,
2013-11-04,ENTER,136.0,127.0,2013-12-04,63671.0,2091005.775874042,143.24807739257812,normal,1.0,0.1456558321497525,0.1659650057290363,,,,
2013-11-04,ROLL,,,,,,,normal,,,,2013-11-07,8.763369148423402e-10,,
2013-11-29,ENTER,139.0,129.0,2013-12-29,66073.0,2562689.4945723847,146.62612915039062,bull,1.0,0.1548139027015735,0.17817261425716385,,,,
2013-11-29,ROLL,,,,,,,bull,,,,2013-12-04,120.12707892744885,,
2013-12-24,ENTER,142.0,133.0,2014-01-23,66201.0,2359827.645170892,148.9941864013672,bull,1.0,0.1394460805658836,0.15829245472582368,,,,
2013-12-24,ROLL,,,,,,,bull,,,,2013-12-29,73.7267761379305,,
2014-01-21,ENTER,143.0,133.0,2014-02-20,65857.0,2663527.2737594163,150.01226806640625,bull,1.0,0.14374011483681562,0.16518835827442063,,,,
2014-01-21,ROLL,,,,,,,bull,,,,2014-01-23,0.31114089354530894,,
2014-02-18,ENTER,143.0,131.0,2014-03-20,66373.0,3399200.653262508,150.06118774414062,bull,1.0,0.15501638807556553,0.18274508244639087,,,,
2014-02-18,ROLL,,,,,,,bull,,,,2014-02-20,27.892804504227186,,
2014-03-17,ENTER,144.0,129.0,2014-04-16,67413.0,4358990.562205268,151.763427734375,bull,1.0,0.17640156782247277,0.2150472390926627,,,,
2014-03-17,ROLL,,,,,,,bull,,,,2014-03-20,413.45911418384844,,
2014-04-11,ENTER,141.0,126.0,2014-05-11,63211.0,5198638.0810785275,148.49008178710938,bull,1.0,0.19177540714124378,0.23478334510840854,,,,
2014-04-11,ROLL,,,,,,,bull,,,,2014-04-16,627301.7999769707,,
2014-05-06,ENTER,145.0,134.0,2014-06-05,60912.0,2637154.456452851,152.80142211914062,bull,1.0,0.15561424030877083,0.18045040189522907,,,,
2014-05-06,ROLL,,,,,,,bull,,,,2014-05-11,51.533129074940796,,
2014-06-02,ENTER,150.0,142.0,2014-07-02,60137.0,1506838.3346328635,157.80804443359375,bull,1.0,0.13012393979154444,0.14479999619358003,,,,
2014-06-02,ROLL,,,,,,,bull,,,,2014-06-05,1.4878529860267437e-05,,
2014-06-27,ENTER,153.0,146.0,2014-07-27,57894.0,1300790.6994187604,160.96450805664062,bull,1.0,0.12652856957218842,0.13877040008899058,,,,
2014-06-27,ROLL,,,,,,,bull,,,,2014-07-02,6.0585759651695,,
2014-07-22,ENTER,155.0,146.0,2014-08-21,57771.0,1927665.6847426547,162.9208984375,bull,1.0,0.1372770155220349,0.15418093028464072,,,,
2014-07-22,ROLL,,,,,,,bull,,,,2014-07-27,218.4732647563766,,
2014-08-18,ENTER,154.0,145.0,2014-09-17,59066.0,1815200.996086766,162.23036193847656,bull,1.0,0.13882565323875684,0.1559124650875933,,,,
2014-08-18,ROLL,,,,,,,bull,,,,2014-08-21,288.1600335327569,,
2014-09-12,ENTER,156.0,144.0,2014-10-12,57918.0,2842466.8212837884,163.68533325195312,bull,1.0,0.14872318185943723,0.17311755361537165,,,,
2014-09-12,ROLL,,,,,,,bull,,,,2014-09-17,1216.6591791201688,,
2014-10-07,ENTER,152.0,136.0,2014-11-06,58442.0,5753464.515423174,159.60276794433594,bull,1.0,0.1924832621145924,0.23559028996599116,,,,
2014-10-07,ROLL,,,,,,,bull,,,,2014-10-12,1220711.4213966096,,
2014-11-03,ENTER,158.0,143.0,2014-12-03,61570.0,3540434.574206671,166.63067626953125,bull,1.0,0.166373464945468,0.1995231344738987,,,,
2014-11-03,ROLL,,,,,,,bull,,,,2014-11-06,0.018508505167326404,,
2014-11-19,MONETIZE,158.0,143.0,,61570.0,,169.4798583984375,bear,,,,,108702.98992510006,3540434.574206671,-3431731.584281571
2016-04-06,ENTER,167.0,153.0,2016-05-06,73516.0,4066868.153769875,175.85116577148438,bull,1.0,0.15862998628999864,0.18667358070142429,,,,
2016-05-02,ENTER,168.0,152.0,2016-06-01,68818.0,4168328.4413865223,177.17166137695312,bull,1.0,0.16579852555335847,0.1989415241369579,,,,
2016-05-02,ROLL,,,,,,,bull,,,,2016-05-06,1929.109088367851,,
2016-05-27,ENTER,170.0,158.0,2016-06-26,67555.0,2904362.5325426543,179.1055145263672,bull,1.0,0.1478751344397477,0.16985100702008796,,,,
2016-05-27,ROLL,,,,,,,bull,,,,2016-06-01,696.6564367527513,,
2016-06-21,ENTER,170.0,152.0,2016-07-21,69315.0,9089008.147289004,178.4954833984375,bull,1.0,0.20678897408015573,0.2533783751281915,,,,
2016-06-21,ROLL,,,,,,,bull,,,,2016-06-26,201348.48145642696,,
2016-07-18,ENTER,176.0,165.0,2016-08-17,68852.0,2576009.847765917,185.32054138183594,bull,1.0,0.14004150406391777,0.15850140914201138,,,,
2016-07-18,ROLL,,,,,,,bull,,,,2016-07-21,0.0002521183002451824,,
2016-08-12,ENTER,178.0,168.0,2016-09-11,70416.0,2192679.008748372,187.0760498046875,bull,1.0,0.1295088160732211,0.14494371442167608,,,,
2016-08-12,ROLL,,,,,,,bull,,,,2016-08-17,162.6798325517913,,
2016-09-06,ENTER,178.0,168.0,2016-10-06,69943.0,2230725.7978439354,187.5641326904297,bull,1.0,0.13552292716745054,0.15154411193454478,,,,
2016-09-06,ROLL,,,,,,,bull,,,,2016-09-11,2270.8842988505626,,
2016-10-03,ENTER,176.0,162.0,2016-11-02,71228.0,3379494.0392879522,185.7144317626953,bull,1.0,0.15344563400024186,0.1790198440824037,,,,
2016-10-03,ROLL,,,,,,,bull,,,,2016-10-06,3690.441759174718,,
2016-10-28,ENTER,174.0,155.0,2016-11-27,75506.0,7039412.139829869,182.92587280273438,normal,1.0,0.1816497929497677,0.22369004748484086,,,,
2016-10-28,ROLL,,,,,,,normal,,,,2016-11-02,282397.57706119865,,
2016-11-22,ENTER,180.0,169.0,2016-12-22,73468.0,2583521.066075395,189.8456573486328,normal,1.0,0.1401899907210632,0.15816643540618522,,,,
2016-11-22,ROLL,,,,,,,normal,,,,2016-11-27,1.3588205213545732,,
2016-12-19,ENTER,185.0,175.0,2017-01-18,69562.0,1924109.5672435635,195.25,bull,1.0,0.132468525041121,0.14746211835431142,,,,
2016-12-19,ROLL,,,,,,,bull,,,,2016-12-22,0.00016682120172347613,,
2017-01-13,ENTER,187.0,177.0,2017-02-12,69770.0,2024570.8460350875,196.56594848632812,bull,1.0,0.12596276800996808,0.14024550683180248,,,,
2017-01-13,ROLL,,,,,,,bull,,,,2017-01-18,113.07895941763238,,
2017-02-07,ENTER,188.0,179.0,2017-03-09,71133.0,1794592.1337722153,198.2021942138672,bull,1.0,0.12742838091739836,0.14024484134147874,,,,
2017-02-07,ROLL,,,,,,,bull,,,,2017-02-12,235.18378423885454,,
2017-03-06,ENTER,196.0,185.0,2017-04-05,70379.0,2286778.7609614166,205.794677734375,bull,1.0,0.12577406833783458,0.14079389058357086,,,,
2017-03-06,ROLL,,,,,,,bull,,,,2017-03-09,2.9366676712734323e-07,,
2017-03-31,ENTER,195.0,182.0,2017-04-30,69665.0,3072459.4722448224,204.9770965576172,bull,1.0,0.13875249561603317,0.1583656623079355,,,,
2017-03-31,ROLL,,,,,,,bull,,,,2017-04-05,15675.00481587054,,
2017-04-25,ENTER,197.0,188.0,2017-05-25,67506.0,1561089.1573908767,207.42041015625,bull,1.0,0.12111407396552423,0.13278602019094585,,,,
2017-04-25,ROLL,,,,,,,bull,,,,2017-04-30,37.90316883762238,,
2017-05-22,ENTER,198.0,188.0,2017-06-21,70229.0,1862212.802322972,208.2637939453125,bull,1.0,0.12276649053253241,0.13588687033801827,,,,
2017-05-22,ROLL,,,,,,,bull,,,,2017-05-25,0.9737421419493981,,
2017-06-16,ENTER,201.0,193.0,2017-07-16,70968.0,1270094.376677476,212.00550842285156,bull,1.0,0.11727101653671093,0.1270632150429287,,,,
2017-06-16,ROLL,,,,,,,bull,,,,2017-06-21,2.354739456149299,,
2017-07-11,ENTER,201.0,191.0,2017-08-10,69169.0,1743168.598246033,211.6123046875,bull,1.0,0.12255329260465575,0.1354188010330956,,,,
2017-07-11,ROLL,,,,,,,bull,,,,2017-07-16,755.6896251515517,,
2017-08-07,ENTER,206.0,198.0,2017-09-06,65450.0,1194685.3629067803,216.57518005371094,bull,1.0,0.11142185437098386,0.12059187985875738,,,,
2017-08-07,ROLL,,,,,,,bull,,,,2017-08-10,1.9367479351881056e-06,,
2017-09-01,ENTER,206.0,198.0,2017-10-01,63523.0,1274007.7847283322,216.5489959716797,normal,1.0,0.11363683776643164,0.12299268888250933,,,,
2017-09-01,ROLL,,,,,,,normal,,,,2017-09-06,330.69463741877604,,
2017-09-26,ENTER,208.0,200.0,2017-10-26,66426.0,1343190.5781973272,218.71249389648438,normal,1.0,0.11415313151289175,0.1234530111727916,,,,
2017-09-26,ROLL,,,,,,,normal,,,,2017-10-01,18.75077928514792,,
2017-10-23,ENTER,214.0,203.0,2017-11-22,63189.0,2004059.1621681796,224.88536071777344,normal,1.0,0.12409588701346769,0.13763278012262273,,,,
2017-10-23,ROLL,,,,,,,normal,,,,2017-10-26,6.371962356401523e-05,,
2017-11-17,ENTER,215.0,203.0,2017-12-17,63168.0,2062332.2176338711,226.42201232910156,bull,1.0,0.12871489300481812,0.14385917864256703,,,,
2017-11-17,ROLL,,,,,,,bull,,,,2017-11-22,461.0879868345381,,
2017-12-12,ENTER,223.0,214.0,2018-01-11,63149.0,1315051.031996574,234.25453186035156,bull,1.0,0.11111485889257323,0.12064295886566485,,,,
2017-12-12,ROLL,,,,,,,bull,,,,2017-12-17,0.0011977873602389533,,
2018-01-08,ENTER,230.0,223.0,2018-02-07,66292.0,923399.4799506314,241.75341796875,bull,1.0,0.10677092746071086,0.11366224754735052,,,,
2018-01-08,ROLL,,,,,,,bull,,,,2018-01-11,3.2270436960631013e-09,,
2018-02-02,ENTER,231.0,207.0,2018-03-04,67378.0,8984313.345121644,243.10372924804688,bull,1.0,0.19464594640456104,0.23736844353738418,,,,
2018-02-02,ROLL,,,,,,,bull,,,,2018-02-07,76821.97842070954,,
2018-02-27,ENTER,230.0,206.0,2018-03-29,68458.0,10753669.42609491,242.20352172851562,bull,1.0,0.20931675616453538,0.25536892129594835,,,,
2018-02-27,ROLL,,,,,,,bull,,,,2018-03-04,312131.5463534894,,
2018-02-28,MONETIZE,230.0,206.0,,68458.0,,239.7500457763672,crisis,,,,,8199294.468055135,10753669.42609491,-2554374.9580397755
